FID,geom,longitud,latitud,profundida,magnitud__,fecha,hora_utc,clasif
sis_igp_2017.222,POINT (-76.984 -12.2172),-76.984,-12.2172,71,4,23/08/2017,00:48:44,Intermedio
sis_igp_2017.223,POINT (-74.1347 -15.3631),-74.1347,-15.3631,88,5,23/08/2017,11:57:26,Intermedio
sis_igp_2017.224,POINT (-81.109 -6.5028),-81.109,-6.5028,11,4.4,24/08/2017,09:24:47,Superficial
sis_igp_2017.225,POINT (-71.8772 -15.6723),-71.8772,-15.6723,4,4.3,24/08/2017,20:03:50,Superficial
sis_igp_2017.226,POINT (-69.951 -17.6435),-69.951,-17.6435,8,3.6,28/08/2017,04:41:13,Superficial
sis_igp_2017.227,POINT (-70.3597 -13.5134),-70.3597,-13.5134,8,5.2,28/08/2017,07:20:57,Superficial
sis_igp_2017.228,POINT (-76.8983 -9.3304),-76.8983,-9.3304,139,4.2,02/09/2017,15:29:04,Intermedio
sis_igp_2017.229,POINT (-76.8841 -12.1926),-76.8841,-12.1926,56,3.8,03/09/2017,15:14:01,Superficial
sis_igp_2017.230,POINT (-78.6144 -8.9426),-78.6144,-8.9426,91,4.7,04/09/2017,11:56:13,Intermedio
sis_igp_2017.231,POINT (-70.3795 -19.3932),-70.3795,-19.3932,66,5.3,04/09/2017,21:55:18,Intermedio
sis_igp_2017.232,POINT (-70.6379 -16.7826),-70.6379,-16.7826,10,3.6,05/09/2017,08:20:10,Superficial
sis_igp_2017.233,POINT (-79.6519 -4.5443),-79.6519,-4.5443,25,4,11/09/2017,01:42:07,Superficial
sis_igp_2017.234,POINT (-76.662 -12.4214),-76.662,-12.4214,92,4.1,11/09/2017,12:24:48,Intermedio
sis_igp_2017.235,POINT (-72.1606 -15.6458),-72.1606,-15.6458,12,3.5,13/09/2017,16:36:41,Superficial
sis_igp_2017.236,POINT (-76.3349 -11.9032),-76.3349,-11.9032,11,4.8,14/09/2017,08:19:23,Superficial
sis_igp_2017.237,POINT (-76.3283 -11.9026),-76.3283,-11.9026,13,4.1,14/09/2017,08:24:49,Superficial
sis_igp_2017.238,POINT (-76.3331 -11.8994),-76.3331,-11.8994,10,4,14/09/2017,08:26:46,Superficial
sis_igp_2017.239,POINT (-76.3276 -11.9037),-76.3276,-11.9037,12,3.5,14/09/2017,09:53:28,Superficial
sis_igp_2017.240,POINT (-76.3156 -11.8896),-76.3156,-11.8896,16,3.4,14/09/2017,12:21:21,Superficial
sis_igp_2017.241,POINT (-76.3469 -11.8563),-76.3469,-11.8563,10,3.3,14/09/2017,12:22:23,Superficial
sis_igp_2017.242,POINT (-76.3229 -11.8898),-76.3229,-11.8898,13,3.3,14/09/2017,16:05:08,Superficial
sis_igp_2017.243,POINT (-76.3277 -11.8977),-76.3277,-11.8977,17,3.5,14/09/2017,18:22:55,Superficial
sis_igp_2017.244,POINT (-76.3192 -11.8985),-76.3192,-11.8985,14,3.5,14/09/2017,19:37:02,Superficial
sis_igp_2017.245,POINT (-76.3295 -11.8977),-76.3295,-11.8977,12,3.4,15/09/2017,02:45:53,Superficial
sis_igp_2017.246,POINT (-76.3204 -11.8844),-76.3204,-11.8844,12,4,15/09/2017,03:48:08,Superficial
sis_igp_2017.247,POINT (-76.3013 -11.8505),-76.3013,-11.8505,11,3.6,15/09/2017,03:54:42,Superficial
sis_igp_2017.248,POINT (-76.3237 -11.8984),-76.3237,-11.8984,12,4.3,15/09/2017,04:10:36,Superficial
sis_igp_2017.249,POINT (-76.3346 -11.9118),-76.3346,-11.9118,14,3.8,15/09/2017,05:09:47,Superficial
sis_igp_2017.250,POINT (-76.3313 -11.9149),-76.3313,-11.9149,10,3.5,15/09/2017,10:05:22,Superficial
sis_igp_2017.251,POINT (-78.6216 -10.291),-78.6216,-10.291,46,4.3,15/09/2017,11:07:54,Superficial
sis_igp_2017.252,POINT (-75.9807 -11.4111),-75.9807,-11.4111,105,4.3,18/09/2017,06:10:49,Intermedio
sis_igp_2017.253,POINT (-73.5939 -14.5892),-73.5939,-14.5892,6,3.1,18/09/2017,21:45:02,Superficial
sis_igp_2017.254,POINT (-73.5312 -14.5385),-73.5312,-14.5385,7,3.4,19/09/2017,12:05:08,Superficial
sis_igp_2017.255,POINT (-71.7373 -15.6317),-71.7373,-15.6317,8,3.5,20/09/2017,03:15:43,Superficial
sis_igp_2017.256,POINT (-71.4803 -16.4374),-71.4803,-16.4374,137,5.3,20/09/2017,05:26:09,Intermedio
sis_igp_2017.257,POINT (-71.8086 -15.7402),-71.8086,-15.7402,11,3.4,20/09/2017,08:07:48,Superficial
sis_igp_2017.258,POINT (-69.9801 -18.2485),-69.9801,-18.2485,110,4.6,20/09/2017,17:51:41,Intermedio
sis_igp_2017.259,POINT (-76.3256 -11.906),-76.3256,-11.906,17,3.3,21/09/2017,05:45:10,Superficial
sis_igp_2017.260,POINT (-76.3219 -11.8731),-76.3219,-11.8731,14,3.4,23/09/2017,05:42:16,Superficial
sis_igp_2017.261,POINT (-72.0086 -15.7915),-72.0086,-15.7915,13,3.6,23/09/2017,10:27:25,Superficial
sis_igp_2017.262,POINT (-73.6198 -14.7427),-73.6198,-14.7427,10,3.9,24/09/2017,01:10:00,Superficial
sis_igp_2017.263,POINT (-75.7126 -14.5295),-75.7126,-14.5295,36,4.6,24/09/2017,06:39:38,Superficial
sis_igp_2017.264,POINT (-74.7787 -11.3181),-74.7787,-11.3181,13,4,25/09/2017,01:14:49,Superficial
sis_igp_2017.265,POINT (-76.3283 -11.9196),-76.3283,-11.9196,17,3.5,25/09/2017,06:33:25,Superficial
sis_igp_2017.266,POINT (-77.7042 -11.9768),-77.7042,-11.9768,19,4.1,26/09/2017,00:54:13,Superficial
sis_igp_2017.267,POINT (-77.3272 -5.9521),-77.3272,-5.9521,17,4.6,26/09/2017,08:33:24,Superficial
sis_igp_2017.268,POINT (-74.9236 -13.2931),-74.9236,-13.2931,86,4.3,26/09/2017,09:03:52,Intermedio
sis_igp_2017.269,POINT (-77.3724 -5.9296),-77.3724,-5.9296,19,4,27/09/2017,02:27:40,Superficial
sis_igp_2017.270,POINT (-77.3663 -5.9378),-77.3663,-5.9378,19,4.2,27/09/2017,10:51:16,Superficial
sis_igp_2017.271,POINT (-73.9821 -10.835),-73.9821,-10.835,117,4.7,27/09/2017,20:58:22,Intermedio
sis_igp_2017.272,POINT (-75.3238 -11.1314),-75.3238,-11.1314,16,3.8,27/09/2017,22:12:13,Superficial
